_id,name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
659f34b2c72de7d60a623e88,Alby sur Chéran,458,Valid,Eucrite-mmict,252,Fell,2002,45.82133,6.01533,"(45.82133, 6.01533)"
659f34b2c72de7d60a623e90,Almahata Sitta,48915,Valid,Ureilite-an,3950,Fell,2008,20.74575,32.41275,"(20.74575, 32.41275)"
659f34b2c72de7d60a623e9c,Aomori,2313,Valid,L6,320,Fell,1984,40.81056,140.78556,"(40.81056, 140.78556)"
659f34b2c72de7d60a623eab,Ash Creek,48954,Valid,L6,9500,Fell,2009,31.805,-97.01,"(31.805, -97.01)"
659f34b2c72de7d60a623e84,Al Zarnkh,447,Valid,LL5,700,Fell,2001,13.66033,28.96,"(13.66033, 28.96)"
659f34b2c72de7d60a623eb8,Ban Rong Du,4934,Valid,"Iron, ungrouped",16700,Fell,1993,16.66667,101.18333,"(16.66667, 101.18333)"
659f34b2c72de7d60a623ecc,Bawku,4976,Valid,LL5,1557,Fell,1989,11.08333,-0.18333,"(11.08333, -0.18333)"
659f34b2c72de7d60a623ed1,Benguerir,30443,Valid,LL6,25000,Fell,2004,32.25,-8.15,"(32.25, -8.15)"
659f34b2c72de7d60a623ec4,Bassikounou,44876,Valid,H5,29560,Fell,2006,15.78333,-5.9,"(15.78333, -5.9)"
659f34b2c72de7d60a623ed2,Beni M'hira,5018,Valid,L6,19000,Fell,2001,32.86667,10.8,"(32.86667, 10.8)"
659f34b2c72de7d60a623ed5,Bensour,5024,Valid,LL6,45000,Fell,2002,30.0,-7.0,"(30.0, -7.0)"
659f34b2c72de7d60a623ec8,Battle Mountain,56133,Valid,L6,2900,Fell,2012,40.66813,-117.18913,"(40.66813, -117.18913)"
659f34b2c72de7d60a623ec5,Baszkówka,4957,Valid,L5,15500,Fell,1994,52.03333,20.93583,"(52.03333, 20.93583)"
659f34b2c72de7d60a623ed7,Berduc,48975,Valid,L6,270,Fell,2008,-31.91,-58.32833,"(-31.91, -58.32833)"
659f34b2c72de7d60a623edc,Bhawad,36591,Valid,LL6,678,Fell,2002,26.50833,73.11528,"(26.50833, 73.11528)"
659f34b2c72de7d60a623ee0,Berthoud,47355,Valid,Eucrite-mmict,960,Fell,2004,40.30583,-105.02325,"(40.30583, -105.02325)"
659f34b2c72de7d60a623ee4,Bilanga,5045,Valid,Diogenite,25000,Fell,1999,12.45,-0.08333,"(12.45, -0.08333)"
659f34b2c72de7d60a623ee5,Binningup,5051,Valid,H5,488.1,Fell,1984,-33.15639,115.67639,"(-33.15639, 115.67639)"
659f34b2c72de7d60a623efb,Boumdeid (2011),57167,Valid,L6,3599,Fell,2011,17.17493,-11.34133,"(17.17493, -11.34133)"
659f34b2c72de7d60a623efc,Boumdeid (2003),57168,Valid,L6,190,Fell,2003,17.71067,-11.3715,"(17.71067, -11.3715)"
659f34b2c72de7d60a623f05,Bukhara,30448,Valid,CV3,5300,Fell,2001,39.77978,64.60035,"(39.77978, 64.60035)"
659f34b2c72de7d60a623f06,Bunburra Rockhole,48653,Valid,Eucrite,324,Fell,2007,-31.35,129.19,"(-31.35, 129.19)"
659f34b2c72de7d60a623f09,Burnwell,5175,Valid,H4-an,1504,Fell,1990,37.62194,-82.23722,"(37.62194, -82.23722)"
659f34b2c72de7d60a623f0d,Buzzard Coulee,48654,Valid,H4,41000,Fell,2008,52.996,-109.84817,"(52.996, -109.84817)"
659f34b2c72de7d60a623f13,Cali,45976,Valid,H/L4,478,Fell,2007,3.405,-76.51,"(3.405, -76.51)"
659f34b2c72de7d60a623f14,Campos Sales,5249,Valid,L5,23680,Fell,1991,-7.03333,-40.16667,"(-7.03333, -40.16667)"
659f34b2c72de7d60a623f18,Carancas,45817,Valid,H4-5,342,Fell,2007,-16.66444,-69.04389,"(-16.66444, -69.04389)"
659f34b2c72de7d60a623f22,Chadong,5313,Valid,L6,3700,Fell,1998,28.53333,109.31667,"(28.53333, 109.31667)"
659f34b2c72de7d60a623f2f,Ceniceros,5306,Valid,L3.7,1025,Fell,1988,26.46667,-105.23333,"(26.46667, -105.23333)"
659f34b2c72de7d60a623f33,Chela,5338,Valid,H4,2936,Fell,1988,-3.66667,32.5,"(-3.66667, 32.5)"
659f34b2c72de7d60a623f34,Chelyabinsk,57165,Valid,LL5,100000,Fell,2013,54.81667,61.11667,"(54.81667, 61.11667)"
659f34b2c72de7d60a623f3d,Chisenga,5355,Valid,"Iron, IIIAB",3920,Fell,1988,-10.05944,33.395,"(-10.05944, 33.395)"
659f34b2c72de7d60a623f35,Chergach,47347,Valid,H5,100000,Fell,2007,23.69639,-5.01472,"(23.69639, -5.01472)"
659f34b2c72de7d60a623f40,Claxton,5374,Valid,L6,1455,Fell,1984,32.1025,-81.87278,"(32.1025, -81.87278)"
659f34b2c72de7d60a623f45,Coleman,5401,Valid,L6,469,Fell,1994,43.76111,-84.50778,"(43.76111, -84.50778)"
659f34b2c72de7d60a623f56,Daule,51559,Valid,L5,6580,Fell,2008,-1.87089,-79.95756,"(-1.87089, -79.95756)"
659f34b2c72de7d60a623f54,Dashoguz,6604,Valid,H5,7000,Fell,1998,41.98444,59.685,"(41.98444, 59.685)"
659f34b2c72de7d60a623f67,Djoumine,7657,Valid,H5-6,10000,Fell,1999,36.95,9.55,"(36.95, 9.55)"
659f34b2c72de7d60a623f69,Didim,47350,Valid,H3-5,3396,Fell,2007,37.35172,27.32997,"(37.35172, 27.32997)"
